Name,RecordTypeId,FieldApiName__c,Filter__c,RelatedObject__c,ProductType__c,DisplayOrder__c,Errors,Id
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,PMO,,,a0Q1X000003L8t6UAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Account,PersonAccount,,,a0Q1X000003L8t7UAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,PensionProducts,,,a0Q1X000003L8t8UAC
Zaměstnavatel přispívá,0121X000005ITffQAG,EmployerContribution__c,N/A,Asset,PensionProducts,,,a0Q1X000003L8t9UAC
Spořicí pojistné,0121X000005ITfhQAG,SavingPremium__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tAUAS
Rizikové pojistné,0121X000005ITfhQAG,RiskPremium__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tBUAS
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tCUAS
Platnost do,0121X000005ITfgQAG,ValidFrom__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tDUAS
Měsíční příspěvek účastník,0121X000005ITfhQAG,MonthFeeParticipant__c,<=;>=,Asset,PensionProducts,,,a0Q1X000003L8tEUAS
Lhůtní pojistné,0121X000005ITfhQAG,TimePremium__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tFUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,RiskLifeInsurance,,,a0Q1X000003L8tGUAS
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8tHUAS
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,PMO,,,a0Q1X000003L8tIUAS
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8tJUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,PMO,,,a0Q1X000003L8tKUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,RiskLifeInsurance,,,a0Q1X000003L8tLUAS
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,PensionProducts,,,a0Q1X000003L8tMUAS
Invalidní penze,0121X000005ITffQAG,DisabilityPension__c,N/A,Asset,PensionProducts,,,a0Q1X000003L8tNUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,PensionProducts,,,a0Q1X000003L8tOUAS
Prodleva > 1 rok,0121X000005ITffQAG,DelayInPaymentMorethanOneYear__c,N/A,Asset,PensionProducts,,,a0Q1X000003L8tPUAS
PSČ,0121X000005ITfiQAG,BillingPostalCode,exact match;start with,Account,PersonAccount,,,a0Q1X000003L8tQUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,PMO,,,a0Q1X000003L8tRUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8tSUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8tTUAS
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,InvestmentLifeInsurance,,,a0Q1X000003L8tUUAS
Skutečná pojistná částka,0121X000005ITfhQAG,ActualInsuranceAmount__c,<=;>=,Asset,RiskLifeInsurance,,,a0Q1X000003L8tVUAS
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,PensionProducts,,,a0Q1X000003L8tWUAS
